County,Cell Sites Served,Cell Sites Out,Percent Out
ADJUNTAS,10,8,80.0%
AGUADA,18,18,100.0%
AGUADILLA,47,46,97.9%
AGUAS BUENAS,20,20,100.0%
AIBONITO,21,20,95.2%
ANASCO,15,15,100.0%
ARECIBO,69,68,98.6%
ARROYO,10,9,90.0%
BARCELONETA,24,23,95.8%
BARRANQUITAS,18,17,94.4%
BAYAMON,154,125,81.2%
CABO ROJO,52,49,94.2%
CAGUAS,91,79,86.8%
CAMUY,17,16,94.1%
CANOVANAS,29,27,93.1%
CAROLINA,130,117,90.0%
CATANO,21,17,81.0%
CAYEY,46,44,95.7%
CEIBA,12,12,100.0%
CIALES,13,11,84.6%
CIDRA,27,27,100.0%
COAMO,22,20,90.9%
COMERIO,18,18,100.0%
COROZAL,22,21,95.5%
CULEBRA,9,8,88.9%
DORADO,45,40,88.9%
FAJARDO,36,34,94.4%
FLORIDA,6,6,100.0%
GUANICA,17,17,100.0%
GUAYAMA,30,30,100.0%
GUAYANILLA,10,10,100.0%
GUAYNABO,97,76,78.4%
GURABO,33,31,93.9%
HATILLO,29,29,100.0%
HORMIGUEROS,10,10,100.0%
HUMACAO,44,40,90.9%
ISABELA,33,32,97.0%
JAYUYA,7,7,100.0%
JUANA DIAZ,32,29,90.6%
JUNCOS,23,22,95.7%
LAJAS,19,18,94.7%
LARES,15,15,100.0%
LAS MARIAS,9,9,100.0%
LAS PIEDRAS,18,18,100.0%
LOIZA,11,11,100.0%
LUQUILLO,13,12,92.3%
MANATI,28,26,92.9%
MARICAO,5,5,100.0%
MAUNABO,12,11,91.7%
MAYAGUEZ,67,59,88.1%
MOCA,19,19,100.0%
MOROVIS,21,21,100.0%
NAGUABO,23,23,100.0%
NARANJITO,23,23,100.0%
OROCOVIS,15,14,93.3%
PATILLAS,16,15,93.8%
PENUELAS,19,18,94.7%
PONCE,103,98,95.1%
QUEBRADILLAS,20,17,85.0%
RINCON,15,15,100.0%
RIO GRANDE,44,43,97.7%
SABANA GRANDE,13,12,92.3%
SALINAS,29,26,89.7%
SAN GERMAN,25,22,88.0%
SAN JUAN,364,278,76.4%
SAN LORENZO,22,22,100.0%
SAN SEBASTIAN,21,19,90.5%
SANTA ISABEL,18,17,94.4%
TOA ALTA,43,38,88.4%
TOA BAJA,54,48,88.9%
TRUJILLO ALTO,46,41,89.1%
UTUADO,21,21,100.0%
VEGA ALTA,27,25,92.6%
VEGA BAJA,34,34,100.0%
VIEQUES,12,12,100.0%
VILLALBA,9,9,100.0%
YABUCOA,31,31,100.0%
YAUCO,20,18,90.0%
